Date,ACA.PA,AI.PA,AIR.PA,ALO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EDEN.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STLAP.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,URW.PA,VIE.PA,WLN.PA
2000-02-08,,830422.0,,,3082985.0,5795817.0,1959082.0,353693.0,20051279.0,494791.0,5203500.0,,1440594.0,14065300.0,6065500.0,479000.0,1422105.0,405303.0,346967.0,,661910.0,1897355.0,,977700.0,1954533.0,,239690.0,41514.0,765387.0,571050.0,951979.0,1335660.0,,,489962.0,1013001.0,10220100.0,,,
2000-02-09,,815492.0,,,3733203.0,7766724.0,1984750.0,532361.0,19695872.0,6603.0,7359270.0,,1314120.0,11923900.0,3685000.0,1014000.0,2053419.0,345053.0,274699.0,,1074740.0,1150501.0,,1036160.0,2015544.0,,352239.0,77907.0,1024883.0,2807475.0,958643.0,3840928.0,,,596299.0,1216446.0,12234200.0,,,
2000-02-10,,1077174.0,,,2411928.0,6680892.0,3468828.0,334700.0,15103386.0,5511023.0,5255960.0,,789093.0,8975000.0,2898500.0,493000.0,1361432.0,602277.0,614531.0,,2134190.0,1888732.0,,796990.0,1533718.0,,347502.0,54867.0,1198053.0,1044225.0,936332.0,2976904.0,,,448349.0,881480.0,9199092.0,,,
2000-02-11,,1456471.0,,,4022272.0,8013550.0,1789878.0,796444.0,22695422.0,1089794.0,3448060.0,,783738.0,5710000.0,2436500.0,1864000.0,1718472.0,293178.0,468148.0,,1972905.0,2165553.0,,1154710.0,1885333.0,,197494.0,92031.0,815169.0,498000.0,1037698.0,1605476.0,,,616147.0,692270.0,6944408.0,,,
2000-02-14,,795942.0,,,3136618.0,5347899.0,1217348.0,354371.0,13717138.0,555159.0,2684940.0,,559159.0,14807500.0,2123000.0,6732000.0,783248.0,214979.0,222657.0,,645765.0,1484128.0,,597250.0,1543573.0,,95361.0,85329.0,649486.0,1144500.0,870551.0,532680.0,,,654426.0,838843.0,4808980.0,,,
2000-02-15,,789946.0,,,3499887.0,4650914.0,1926844.0,285478.0,17176532.0,565210.0,3401720.0,,1013141.0,15716800.0,2176500.0,5044000.0,929614.0,326138.0,454750.0,,738530.0,1665139.0,,812040.0,2191751.0,,230214.0,87474.0,590958.0,1541475.0,911983.0,1512804.0,,,546422.0,1305602.0,6437716.0,,,
2000-02-16,,944613.0,,,4606717.0,6148576.0,3855116.0,349683.0,13147859.0,922468.0,6077130.0,,494818.0,14832500.0,2654500.0,5413000.0,2037176.0,374577.0,396628.0,,995870.0,2738492.0,,1034470.0,2175255.0,,175693.0,33183.0,558496.0,1141950.0,1450438.0,1175256.0,,,1075036.0,977720.0,6410680.0,,,
2000-02-17,,874713.0,,,3113693.0,18199512.0,3365962.0,239768.0,10493283.0,802787.0,2282100.0,,547386.0,10800800.0,4750000.0,3248000.0,2495046.0,430474.0,271395.0,,1110390.0,1455365.0,,654010.0,1556768.0,,189994.0,56823.0,464033.0,1078650.0,2660328.0,1259788.0,,,468242.0,340277.0,4725108.0,,,
2000-02-18,,1769693.0,,,2739521.0,7231764.0,3264364.0,267295.0,12717699.0,408802.0,2107680.0,,873463.0,4652600.0,8237000.0,851000.0,1761448.0,281700.0,250695.0,,1922805.0,2702600.0,,679880.0,1249020.0,,236185.0,41145.0,1232461.0,1146525.0,1072997.0,3533132.0,,,503509.0,459947.0,3709480.0,,,
2000-02-21,,825016.0,,,2077536.0,3894907.0,2423676.0,163760.0,8571757.0,547512.0,1882170.0,,741267.0,6581300.0,2310500.0,2282000.0,654621.0,212721.0,157143.0,,905375.0,1836165.0,,479290.0,1186000.0,,138671.0,61923.0,393019.0,1130925.0,1072840.0,899936.0,,,558082.0,732592.0,3240068.0,,,
